"ID"	"Time"	"Toxin"	"Antibody"	"ToxinDose"	"Microarray"	"Death"	"Inflammation"	"MucosaThickness"	"CongestionExudate"	"ArchitectureErosions"	"SubmucosalEdema"	"TotalPathology"	"MPOPositivesPerField"	"WBC"	"NE"	"LY"	"MO"	"EO"	"BA"	"NE.p"	"LY.p"	"MO.p"	"EO.p"	"BA.p"	"RBC"	"Hb"	"HCT"	"MCV"	"MCH"	"MCHC"	"RDW"	"PLT"	"MPV"	"Ccl11-Serum"	"Lif-Serum"	"Cxcl10-Serum"	"Cxcl1-Serum"	"Ccl2-Serum"	"Ccl3-Serum"	"Ccl4-Serum"	"Cxcl2-Serum"	"Cxcl9-Serum"	"Ccl5-Serum"	"Ccl11-cell"	"Cxcl10-cell"	"Cxcl2-cell"	"Cxcl1-cell"	"Lif-cell"	"Ccl2-cell"	"Ccl3-cell"	"Ccl4-cell"	"Cxcl9-cell"	"Ccl5-cell"	"Cxcl1-qRTPCR"	"Cxcl2-qRTPCR"	"Inflammation.Colon"	"MucosaThickness.Colon"	"CongestionExudate.Colon"	"ArchitectureErosions.Colon"	"SubmucosalEdema.Colon"	"TotalPathology.Colon"
224	6	"Sham"	"None"	0	"Y"		1	1.5	1	0	1	4.5	5.9	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.17	0.04	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
225	16	"A"	"None"	20	"Y"		1	2.5	1	1.5	3	9	20.5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.42	0.19	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
226	16	"A"	"None"	20			2	2.5	1	2	3	10	25.9	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
227	16	"A"	"None"	20	"Y"		2	2.5	2	2	3	11.5	8.5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	16.78	18.73	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
228	16	"B"	"None"	20	"Y"		0.5	0.5	0	0	1.5	2.5	24	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
229	16	"B"	"None"	20		"Dead at 15h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
230	16	"B"	"None"	20	"Y"		1.5	1.5	1	1	3	8	13.1111111111	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
231	2	"B"	"None"	20	"Y"		0	1	0	0.5	1	2.5	0.1	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
232	6	"Sham"	"None"	0	"Y"		0	0.5	0	0	1	1.5	2.4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.14	0.11	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
233	2	"B"	"None"	20	"Y"		0	0	0	0	0	0	1.8	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
234	16	"Sham"	"None"	0	"Y"		0	0	0	0	0.5	0.5	1	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.42	0.41	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
235	16	"Sham"	"None"	0	"Y"		1	1.5	0	0	1.5	4	11.5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.43	0.54	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
236	16	"Sham"	"None"	0	"Y"		0.5	1	0	0	1	2.5	4.9	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.46	0.72	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
301	2	"A"	"None"	20			0.5	2.5	0	0.5	2.5	6	0.125	4.23	0.96	3.075	0.165	0.015	0.01	22.63	72.975	3.785	0.405	0.205	8.685	11.75	42.55	49	13.5	27.6	16.1	498.5	4.5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
302	2	"A"	"None"	20			1	1.5	0	0.5	2.5	5.5	0.1	6.9	2.745	3.89	0.205	0.03	0.02	39.795	56.425	2.995	0.48	0.305	7.815	10.5	38.35	49.1	13.45	27.4	15.7	743	4.4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
303	2	"A"	"None"	20			1	2	0	1	2.5	6.5	0.3	3.54	1.085	2.34	0.095	0.01	0.01	30.68	66.175	2.63	0.245	0.26	7.925	10.9	39.5	49.85	13.75	27.6	16.15	710.5	4.25	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
304	2	"A"	"None"	20		"Dead at 1h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	3.28	0.97	2.245	0.065	0	0	29.505	68.485	1.91	0.1	0	8.28	11.45	40	48.3	13.85	28.6	15.8	754.5	4.15	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
305	2	"B"	"None"	20			0	0.5	0	0	2.5	3	0	4.47	1.57	2.795	0.1	0	0	35.155	62.515	2.26	0.035	0.035	7.82	11.15	38.35	49.05	14.25	29.1	16.1	643.5	4.05	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
306	2	"B"	"None"	20			0.5	0.5	0	0.5	0.5	2	0.7	3.82	1.455	2.2	0.105	0.05	0.015	38.03	57.625	2.725	1.29	0.34	7.03	9.5	34.85	49.55	13.55	27.3	16.1	682	4.6	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
307	2	"B"	"None"	20			0.5	1	0	0	1.5	3	0.4444444444	5.12	1.465	3.44	0.175	0.085	0.005	28.39	67.305	3.49	0.68	0.135	7.97	11.3	40.2	50.4	14.2	28.1	15.85	632	4.3	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
308	2	"B"	"None"	20			0	0	0	0	0.5	0.5	0.7	5.75	1.52	3.755	0.26	0.175	0.045	26.28	65.39	4.545	2.975	0.77	8.01	11.4	40.75	50.95	14.2	28	15.75	331	4.4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
309	2	"Sham"	"None"	0			0	0.5	0	0	1	1.5	1.1	2.06	0.49	1.505	0.06	0	0	23.905	73.08	2.81	0.17	0.035	8.14	11.35	41.35	50.8	13.9	27.45	16.65	864.5	4.3	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
310	2	"Sham"	"None"	0			0	0	0	0	1.5	1.5	0.1	8.2	2.59	4.48	0.385	0.55	0.195	31.55	54.74	4.7	6.66	2.355	8.08	11	40.05	49.55	13.65	27.45	16.2	429	4.8	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
311	2	"Sham"	"None"	0			0	0	0	0	0.5	0.5	0	1.56	0.495	1.03	0.03	0	0	31.625	66.17	2.09	0.06	0.05	8.445	11.4	41.4	49	13.5	27.5	16.45	936	4.25	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
312	2	"Sham"	"None"	0			0	0	0	0	1	1	0	4.93	1.465	3.365	0.09	0.005	0.005	29.715	68.25	1.84	0.115	0.07	8.015	10.7	39.5	49.3	13.35	27.1	15.95	730	4.2	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
313	6	"A"	"None"	20		"Died at 5h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
314	6	"A"	"None"	20			2	2.5	2	2.5	3	12	21.4	2.09	1.235	0.71	0.14	0	0	59.145	33.945	6.705	0.135	0.075	8.145	11.1	37.35	45.85	13.65	29.75	16.45	775	4.35	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	13.3	42.13	51.71	25.03	4.07	17.05	76.49	0.8	49.03	4.89	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
315	6	"A"	"None"	20			2	2	1.5	2	3	10.5	11.2	6.73	3.94	2.235	0.32	0.19	0.055	58.52	33.165	4.745	2.78	0.79	10.11	14.45	48.45	47.9	14.3	29.85	16.95	213	4.6	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	47.41	164	210	139	9.56	22.38	99.16	0.8	91.95	10.95	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
316	6	"A"	"None"	20			1	1.5	1	1.5	3	8	0.5	2.63	1.64	0.895	0.08	0.005	0	62.255	34.18	3.19	0.285	0.095	7.555	10.95	35.65	47.15	14.5	30.8	16.15	596	4.2	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	25.79	82.98	91.01	64.24	6.98	32.17	87.23	4.08	74.24	12.56	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
317	6	"B"	"None"	20			0.5	1	0	0	2	3.5	1.1	4.92	3.2	1.55	0.165	0.005	0	64.99	31.5	3.385	0.115	0.015	7.53	10.7	35.15	46.65	14.2	30.55	15.9	752.5	3.9	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	22.08	10.53	7.03	26.6	4.07	7.5	41.17	0.8	10.2	5.89	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
318	6	"B"	"None"	20			1	2	0	0	2	5	2.5	4.18	2.635	1.375	0.15	0.01	0.005	63.135	32.83	3.645	0.27	0.125	7.9	10.9	36.5	46.2	13.8	29.9	15.35	820.5	4.3	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	38.01	22.47	26.64	26.08	4.61	8.26	53.77	0.8	38.01	18.94	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
319	6	"B"	"None"	20		"Died at 5.5h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	8.6	4.58	3.235	0.525	0.205	0.055	53.165	37.62	6.195	2.39	0.635	9.695	13.45	46.45	47.85	13.9	29	16.3	213.5	4.95	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
320	6	"B"	"None"	20			0	0.5	0	0	1	1.5	4.5	6.93	3.69	3.015	0.195	0.02	0.005	53.42	43.445	2.75	0.3	0.09	7.505	11.05	35.25	47	14.75	31.35	16	518	4.4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	16.33	29.32	7.03	14.74	4.07	10.99	38.22	4.86	19.89	11.88	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
321	6	"Sham"	"None"	0			0	1.5	0	0	2	3.5	"NA"	4.63	1.86	2.45	0.25	0.05	0.025	40.13	52.92	5.395	1.01	0.55	7.525	11.05	35.1	46.7	14.65	31.5	15	628.5	4.2	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	26.29	12.04	41.59	22.43	4.07	5.3	30.91	0.8	11.47	7	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
322	6	"Sham"	"None"	0		"Dead at 4h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	2.21	0.345	1.64	0.135	0.07	0.02	15.665	74.05	6.175	3.305	0.805	5.055	7.15	23.15	45.75	14.15	30.9	15.4	287	4.2	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
323	6	"Sham"	"None"	0			1	1.5	0	0	2	4.5	3.9	3.15	2.09	0.92	0.125	0.01	0	66.34	29.21	4.055	0.295	0.1	7.15	10.3	33.25	46.5	14.4	31	16.55	799	4.2	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	26.21	15.49	41.59	10.85	4.07	10.59	47.84	14.72	45.38	6.42	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
324	6	"Sham"	"None"	0			0	0.5	0	0	1	1.5	0.2	7	2.55	3.585	0.38	0.35	0.135	36.465	51.23	5.43	4.99	1.89	6.54	9.4	30.05	45.95	14.35	31.3	15.85	593	4.35	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	11.96	8.25	7.03	7	4.07	5	22.39	0.8	9.5	3.7	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
325	16	"A"	"None"	20			2	2	2	2	2.5	10.5	5.4	2.44	1.49	0.61	0.125	0.18	0.03	61.275	25.11	5.18	7.29	1.145	8.695	12.1	41	47.2	13.95	29.55	16.4	122	4.5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
326	16	"A"	"None"	20			2	2	1	1	3	9	16.7	2.58	1.565	0.815	0.09	0.095	0.015	60.1	31.66	3.5	3.62	0.615	7.66	10.9	36.3	47.4	14.2	30.05	15.6	158.5	4.55	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
327	16	"A"	"None"	20			2	1	0	0.5	3	6.5	13.6	4.64	2.01	2.44	0.16	0.025	0.005	43.58	52.445	3.325	0.49	0.16	7.83	11.15	37.2	47.5	14.25	29.95	16.2	537	4.25	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
328	16	"A"	"None"	20			2	2.5	2	1.5	3	11	1.9	1.85	0.63	0.725	0.395	0.085	0.015	34.015	39.16	21.4	4.55	0.885	6.49	9.1	30.2	46.55	14	30.1	16.7	74.5	5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
329	16	"A"	"None"	20	"Y"		2	2	1	0.5	3	8.5	12.6666666667	3.01	0.795	1.785	0.145	0.2	0.085	26.095	59.88	4.795	6.59	2.645	4.1	5.45	20.05	48.9	13.3	27.15	17.6	373	4.45	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
330	16	"B"	"None"	20			2	1	2	1	3	9	14.5555555556	5.32	1.875	2.365	0.385	0.48	0.215	35.235	44.56	7.385	8.83	3.985	8.02	12.35	39.85	49.75	15.45	31	16.3	405	4.7	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
331	16	"B"	"None"	20		"Dead at 15h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
332	16	"B"	"None"	20			1	1.5	0	0.5	2	5	8.3	5.27	1.86	2.465	0.27	0.465	0.205	35.27	46.81	5.11	8.925	3.88	7.165	10.35	34.45	48.1	14.45	30.05	16.2	325	4.65	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
333	16	"B"	"None"	20			0	0	0	0	1	1	5.8	3.35	0.78	1.8	0.295	0.375	0.095	23.37	53.84	8.725	11.225	2.84	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
334	16	"B"	"None"	20	"Y"		1	1.5	0	0.5	2.5	5.5	1	5.15	2.105	2.655	0.205	0.135	0.05	41.005	51.55	3.93	2.515	1	7.84	10.85	38.25	48.8	13.85	28.35	16.95	684	4.4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
335	16	"Sham"	"None"	0			0.5	0.5	0	0	2	3	0.4	2.66	0.295	2.29	0.06	0.01	0	11.18	86.14	2.24	0.41	0.03	7.365	10.7	36.5	49.55	14.55	29.3	16.55	782	4.2	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
336	16	"Sham"	"None"	0			0	0.5	0	0	1.5	2	0.1111111111	1.45	0.235	1.115	0.055	0.035	0.01	16.4	76.77	3.815	2.465	0.55	7.26	10.5	35.85	49.35	14.5	29.25	16.1	623	4.25	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
337	16	"Sham"	"None"	0			0	0.5	0	0	1.5	2	0.3	3.72	0.645	2.94	0.11	0.02	0.005	17.245	79.375	2.785	0.47	0.12	8.145	11.5	39.2	48.1	14.1	29.3	16.25	712.5	4.15	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
338	16	"Sham"	"None"	0			0.5	1.5	0	0	1.5	3.5	0.8	6.4	2.025	3.49	0.34	0.41	0.145	31.7	54.475	5.26	6.37	2.245	7.39	10.55	35.65	48.25	14.25	29.6	16.95	386	4.45	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
